Comment,Designator,Footprint,JLCPCB Part #
LM2596S-ADJ,"U2,U3,U4",TO-263-5_L10.2-W8.9-P1.70-BR,
10uF,C1,C1206,
100nF,"C2,C6,C8,C10,C17,C18,C19",C0805,
470uF 25V,"C3,C11",CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,
470uF 16V,C4,CAP-SMD_BD6.3-L6.6-W6.6-FD,
100uF,"C5,C7,C9",CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD,
470uF,"C14,C20,C21,C24,C25",CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,
470nF,"C15,C16",C0603,
470uF,"C22,C23",CAP-SMD_BD6.3-L6.6-W6.6-FD,
1uF 16V,"C30,C34",C0603,
22nF,"C31,C32,C33",C0805,
100nF 50V,C35,C0805,
SS34,"D1,D2,D3",SMA_L4.3-W2.6-LS5.2-RD,
USBLC6-2SC6,D4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,
USB-C,J1,TYPE-C-SMD_TYPE-C-6P,
1217754-1,"J6,J7,J8,J9",CONN-TH_1217754-1,
2541WR-2X08P,"J10,J11",HDR-TH_16P-P2.54-H-M-R2-C8-S2.54,
100uH,"L1,L2,L3",IND-SMD_L13.8-W12.8,
Green,LED2,LED0603-RD,
Blue,LED3,LED0603-RD,
Red,LED4,LED0603-RD,
1k,"R2,R4,R6",R0603,
10k,"R1,R5",R0603,
GND,TP2,TestPoint_Pad_D1.5mm,
SMAJ15A_C571368,"TVS1,TVS3",D-FLAT_L4.3-W2.6-LS5.3-RD,
SD05_C502527,TVS2,SOD-323_L1.8-W1.3-LS2.5-FD,
STUSB4500QTR,U1,QFN-24_L4.0-W4.0-P0.50-BL-EP2.8,
L7812CD2T-TR,U6,TO-263-2_L10.0-W9.1-P5.08-LS15.2-TL,
L7805ABD2T-TR,U7,TO-263-2_L10.0-W9.2-P5.08-LS15.3-TL-CW,
CJ7912_C94173,U8,TO-252-3_L6.5-W5.8-P4.58-BL,
-30V -4A,Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,
+15V USB-PD,TP1,TestPoint_Pad_D1.5mm,
BSMD1206-150-16V,PTC3,F1206,
1k,"R7,R8,R9",R0805,
SMD1210P200TF,PTC1,F1210,
mSMD110-33V,PTC2,F1812,
-13.5V,TP5,TestPoint_Pad_D1.5mm,
5.1k,R3,R0603,
100k,R11,R0603,
56k,R12,R0603,
470,R13,R0603,
+7.5V,TP4,TestPoint_Pad_D1.5mm,
+13.5V,TP3,TestPoint_Pad_D1.5mm,
